Signo,Elemento,Edad,Sociabilidad,Creatividad,Estabilidad_Emocional
Aries,Fuego,25,8,6,5
Tauro,Tierra,30,5,7,8
Géminis,Aire,22,9,8,4
Cáncer,Agua,28,6,9,3
Leo,Fuego,35,9,7,6
Virgo,Tierra,40,4,6,9
Libra,Aire,27,8,8,6
Escorpio,Agua,31,5,9,4
Sagitario,Fuego,24,9,5,7
Capricornio,Tierra,45,3,4,9
Acuario,Aire,29,7,9,6
Piscis,Agua,26,6,10,3
Aries,Fuego,32,7,5,6
Tauro,Tierra,28,4,6,8
Géminis,Aire,25,8,7,5
Cáncer,Agua,34,5,8,4
Leo,Fuego,29,8,8,7
Virgo,Tierra,38,5,5,8
Libra,Aire,31,9,7,7
Escorpio,Agua,27,4,8,5
Sagitario,Fuego,22,9,6,6
Capricornio,Tierra,50,2,3,9
Acuario,Aire,33,6,8,5
Piscis,Agua,21,7,9,4
